Name,Price(lac),City,Model,Mileage
Suzuki Cultus  2009 VXRi for Sale,                         8.5 ,                    Karachi                  ,2009,"96,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         7.5 ,                    Karachi                  ,2009,"85,202 km"
Suzuki Cultus  2009 VXRi (CNG) for Sale,                         8 ,                    Karachi                  ,2009,"30,125 km"
Suzuki Cultus  2009 VXLi for Sale,                         9.15 ,                    Karachi                  ,2009,"142,000 km"
Suzuki Mehran  2009 VXR for Sale,                         5.9 ,                    Fateh Jang                  ,2009,"200,000 km"
Suzuki Cultus  2004 VXR (CNG) for Sale,                         6 ,                    Islamabad                  ,2004,"200,000 km"
Suzuki Cultus  2009 VXLi (CNG) for Sale,                         8.5 ,                    Karachi                  ,2009,"141,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.45 ,                    Lahore                  ,2009,"50,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.45 ,                    Lahore                  ,2009,"50,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         9.96 ,                    Rawalpindi                  ,2009,"63,000 km"
Suzuki Cultus  2009 EURO II for Sale,                         7.5 ,                    Karachi                  ,2009,"45,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.1 ,                    Karachi                  ,2009,"130,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         9.85 ,                    Lahore                  ,2009,"112,000 km"
Suzuki Cultus  2009 EURO II for Sale,                         7.5 ,                    Karachi                  ,2009,"50,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8 ,                    Karachi                  ,2009,"70,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.5 ,                    Rahim Yar Khan                  ,2009,"70,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.6 ,                    Karachi                  ,2009,"65,310 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.45 ,                    Karachi                  ,2009,"67,000 km"
Suzuki Cultus  2009  for Sale,                         10 ,                    Multan                  ,2009,"80,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.8 ,                    Karachi                  ,2009,"74,936 km"
Suzuki Cultus  2009 VXRi (CNG) for Sale,                         12.75 ,                    Lahore                  ,2009,"65,000 km"
Suzuki Cultus  2009 Limited Edition for Sale,                         8.5 ,                    Sadiqabad                  ,2009,"50,000 km"
Suzuki Cultus  2009 VXLi for Sale,                         9 ,                    Karachi                  ,2009,"168,000 km"
Suzuki Cultus  2009 VXLi for Sale,                         10.5 ,                    Multan                  ,2009,"130,000 km"
Suzuki Cultus  2009 EURO II for Sale,                         9 ,                    Karachi                  ,2009,"85,000 km"
Suzuki Cultus  2009 VXRi (CNG) for Sale,                         9.2 ,                    Faisalabad                  ,2009,"23,000 km"
Suzuki Cultus  2009 EURO II for Sale,                         10.3 ,                    Rawalpindi                  ,2009,"100,000 km"
Suzuki Cultus  2009 VXLi for Sale,                         11.3 ,                    Islamabad                  ,2009,"2,020 km"
Suzuki Cultus  2009 VXRi (CNG) for Sale,                         8.3 ,                    Karachi                  ,2009,"92,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         11.3 ,                    Islamabad                  ,2009,"111,111 km"
Suzuki Cultus  2008 VXRi (CNG) for Sale,                         9.25 ,                    Rawalpindi                  ,2008,"74,865 km"
Suzuki Cultus  2009 VXRi (CNG) for Sale,                         10.5 ,                    Faisalabad                  ,2009,"96,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.5 ,                    Lahore                  ,2009,"800,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.35 ,                    Karachi                  ,2009,"81,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         9 ,                    Lahore                  ,2009,"167,000 km"
Suzuki Cultus  2009 VXLi (CNG) for Sale,                         9.45 ,                    Mian Wali                  ,2009,"80,000 km"
Suzuki Cultus  2009  for Sale,                         9.25 ,                    Lahore                  ,2009,"6,666 km"
Suzuki Cultus  2009 VXRi for Sale,                         11 ,                    Islamabad                  ,2009,"52,000 km"
Suzuki Cultus  2009 Euro II (CNG) for Sale,                         10.5 ,                    Rawalpindi                  ,2009,"90,000 km"
Suzuki Cultus  2009 EURO II for Sale,                         8.2 ,                    Lahore                  ,2009,"72,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.5 ,                    Lahore                  ,2009,"50,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         9 ,                    Karachi                  ,2009,"128,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         7.6 ,                    Karachi                  ,2009,"90,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         10 ,                    Lahore                  ,2009,"199,999 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.9 ,                    Karachi                  ,2009,452 km
Suzuki Cultus  2007 VXR (CNG) for Sale,                         5.95 ,                    Karachi                  ,2007,"65,000 km"
Suzuki Cultus  2009 EURO II for Sale,                         9 ,                    Lahore                  ,2009,"150,000 km"
Suzuki Cultus  2009 EURO II for Sale,                         8.5 ,                    Lahore                  ,2009,1 km
Suzuki Cultus  2009 Euro II (CNG) for Sale,                         9 ,                    Bahawalpur                  ,2009,"78,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         7.9 ,                    Karachi                  ,2009,"555,555 km"
Suzuki Cultus  2009  for Sale,                         9.95 ,                    Islamabad                  ,2009,150 km
Suzuki Cultus  2009 VXRi for Sale,                         9.9 ,                    Wah cantt                  ,2009,"96,000 km"
Suzuki Cultus  2008  for Sale,                         8.5 ,                    Islamabad                  ,2008,"103,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         9 ,                    Gujrat                  ,2009,"12,345 km"
Suzuki Cultus  2009 VXLi (CNG) for Sale,                         10.1 ,                    Tandiliyawala                  ,2009,"81,779 km"
Suzuki Cultus  2010 VXRi for Sale,                         8.9 ,                    Kasur                  ,2010,"75,000 km"
Suzuki Cultus  2009 Limited Edition for Sale,                         12.3 ,                    Karachi                  ,2009,"50,000 km"
Suzuki Cultus  2009  for Sale,                         9.5 ,                    Lahore                  ,2009,"112,000 km"
Suzuki Cultus  2009 VXRi (CNG) for Sale,                         8.8 ,                    Bahawalpur                  ,2009,"66,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         9.15 ,                    Gujrat                  ,2009,"82,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         9.2 ,                    Rawalpindi                  ,2009,"95,000 km"
Suzuki Cultus  2009 EURO II for Sale,                         9.75 ,                    Sargodha                  ,2009,"134,000 km"
Suzuki Cultus  2005 VXL for Sale,                         8.5 ,                    Karachi                  ,2005,"125,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.65 ,                    Karachi                  ,2009,"107,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.65 ,                    Karachi                  ,2009,"107,000 km"
Suzuki Cultus  2009  for Sale,                         8.15 ,                    Lahore                  ,2009,"110,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.9 ,                    Lahore                  ,2009,15 km
Suzuki Cultus  2009 VXRi for Sale,                         8.45 ,                    Karachi                  ,2009,"85,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         7.8 ,                    Karachi                  ,2009,"41,200 km"
Suzuki Cultus  2009 VXRi for Sale,                         11.3 ,                    Islamabad                  ,2009,"131,000 km"
Suzuki Cultus  2009 VXLi (CNG) for Sale,                         8.5 ,                    Jamshoro                  ,2009,"11,111 km"
Suzuki Cultus  2009 EURO II for Sale,                         10.5 ,                    Sahiwal                  ,2009,15 km
Suzuki Cultus  2009 VXLi (CNG) for Sale,                         9.05 ,                    Karachi                  ,2009,"89,000 km"
Suzuki Cultus  2009 VXRi (CNG) for Sale,                         9.25 ,                    Rawalpindi                  ,2009,"57,000 km"
Suzuki Cultus  2009 EURO II for Sale,                         9.2 ,                    Sargodha                  ,2009,"310,000 km"
Suzuki Cultus  2009 VXRi (CNG) for Sale,                         7.9 ,                    Lahore                  ,2009,"82,500 km"
Suzuki Cultus  2009 VXRi for Sale,                         7.1 ,                    Karachi                  ,2009,"123,456 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.9 ,                    Islamabad                  ,2009,123 km
Suzuki Cultus  2009 VXRi for Sale,                         7.4 ,                    Karachi                  ,2009,"178,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.9 ,                    Lahore                  ,2009,"1,234 km"
Suzuki Cultus  2009 Limited Edition for Sale,                         13.25 ,                    Faisalabad                  ,2009,"99,900 km"
Suzuki Cultus  2009 EURO II for Sale,                         11.9 ,                    Lahore                  ,2009,"88,000 km"
Suzuki Cultus  2009 EURO II for Sale,                         8.75 ,                    Rawalpindi                  ,2009,"100,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         10 ,                    Sahiwal                  ,2009,"80,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.7 ,                    Karachi                  ,2009,"36,500 km"
Suzuki Cultus  2009 VXRi (CNG) for Sale,                         7.9 ,                    Lahore                  ,2009,"81,000 km"
Suzuki Cultus  2009 VXLi for Sale,                         8.7 ,                    Multan                  ,2009,"58,000 km"
Suzuki Cultus  2010 VXLi (CNG) for Sale,                         8.95 ,                    Karachi                  ,2010,"123,456 km"
Suzuki Cultus  2009 VXRi for Sale,                         10.99 ,                    Sialkot                  ,2009,"44,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.5 ,                    Karachi                  ,2009,"80,000 km"
Suzuki Cultus  2009  for Sale,                         9.6 ,                    Peshawar                  ,2009,"78,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         9.1 ,                    Gujranwala                  ,2009,"123,456 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.75 ,                    Layyah                  ,2009,"85,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.85 ,                    Sahiwal                  ,2009,"123,456 km"
Suzuki Cultus  2009 VXLi (CNG) for Sale,                         7.9 ,                    Lahore                  ,2009,"82,000 km"
Suzuki Cultus  2009 EURO II for Sale,                         8.85 ,                    Sahiwal                  ,2009,"1,111 km"
Suzuki Cultus  2009 VXRi for Sale,                         9.5 ,                    Rawalpindi                  ,2009,1 km
Suzuki Cultus  2009 EURO II for Sale,                         10 ,                    Faisalabad                  ,2009,200 km
